,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"alpha[Kepler, Max]",-2.732,0.123,-2.951,-2.488,0.001,0.001,8852.0,6053.0,1.0
"alpha[Merrifield, Whit]",-2.773,0.216,-3.172,-2.357,0.002,0.003,10807.0,5610.0,1.0
"alpha[Hays, Austin]",-2.525,0.183,-2.866,-2.187,0.002,0.002,11719.0,5908.0,1.0
"alpha[Grichuk, Randal]",-2.838,0.149,-3.118,-2.558,0.002,0.002,9071.0,6408.0,1.0
"alpha[Soto, Juan]",-2.72,0.115,-2.94,-2.505,0.001,0.001,9578.0,6544.0,1.0
"alpha[Martinez, J.D.]",-2.76,0.271,-3.24,-2.223,0.003,0.003,10898.0,5895.0,1.0
"alpha[Smith, Pavin]",-2.963,0.174,-3.276,-2.624,0.002,0.002,9023.0,6236.0,1.0
"alpha[Blackmon, Charlie]",-3.183,0.147,-3.464,-2.914,0.002,0.002,8214.0,5932.0,1.0
"alpha[Dozier, Hunter]",-2.917,0.186,-3.273,-2.571,0.002,0.002,11527.0,5703.0,1.0
"alpha[Cave, Jake]",-2.872,0.185,-3.221,-2.522,0.002,0.002,10061.0,5770.0,1.0
"alpha[Conforto, Michael]",-3.119,0.152,-3.406,-2.835,0.002,0.002,9165.0,6233.0,1.0
"alpha[Myers, Wil]",-2.702,0.173,-3.014,-2.362,0.002,0.002,11615.0,5870.0,1.0
"alpha[Tsutsugo, Yoshi]",-2.954,0.251,-3.458,-2.506,0.002,0.003,11293.0,5580.0,1.0
"alpha[Judge, Aaron]",-2.546,0.149,-2.821,-2.267,0.001,0.002,10547.0,6469.0,1.0
"alpha[Taylor, Tyrone]",-2.268,0.175,-2.597,-1.944,0.002,0.002,9246.0,6001.0,1.0
"alpha[Castellanos, Nick]",-2.852,0.104,-3.044,-2.657,0.001,0.001,8044.0,5818.0,1.0
"alpha[Profar, Jurickson]",-2.922,0.261,-3.42,-2.423,0.002,0.003,12695.0,5253.0,1.0
"alpha[Pinder, Chad]",-2.541,0.206,-2.927,-2.158,0.002,0.003,13179.0,6139.0,1.0
"alpha[Springer, George]",-2.612,0.139,-2.88,-2.354,0.001,0.002,10472.0,6086.0,1.0
"alpha[Martini, Nick]",-2.699,0.25,-3.172,-2.219,0.002,0.003,12639.0,4925.0,1.0
"alpha[Grossman, Robbie]",-2.727,0.155,-3.013,-2.432,0.002,0.002,8680.0,6250.0,1.0
"alpha[Rondon, José]",-2.816,0.27,-3.305,-2.291,0.002,0.003,12830.0,5464.0,1.0
"alpha[Ramos, Henry]",-2.653,0.255,-3.128,-2.167,0.002,0.003,11443.0,6034.0,1.0
"alpha[Lux, Gavin]",-2.808,0.281,-3.321,-2.272,0.002,0.004,12864.0,5409.0,1.0
"alpha[Aquino, Aristides]",-2.575,0.193,-2.937,-2.206,0.002,0.002,10373.0,5731.0,1.0
"alpha[Nootbaar, Lars]",-2.801,0.151,-3.084,-2.516,0.002,0.002,9935.0,6043.0,1.0
"alpha[Sánchez, Jesús]",-2.62,0.149,-2.895,-2.336,0.002,0.002,9325.0,5917.0,1.0
"alpha[Pillar, Kevin]",-2.826,0.224,-3.226,-2.389,0.002,0.003,11407.0,5752.0,1.0
"alpha[Isbel, Kyle]",-2.344,0.211,-2.734,-1.939,0.002,0.002,9709.0,5710.0,1.0
"alpha[Gamel, Ben]",-2.894,0.2,-3.25,-2.515,0.002,0.002,9404.0,5957.0,1.0
"alpha[Phillips, Brett]",-2.369,0.205,-2.734,-1.97,0.002,0.003,10828.0,5930.0,1.0
"alpha[Mercado, Óscar]",-2.647,0.209,-3.044,-2.273,0.002,0.003,11422.0,6057.0,1.0
"alpha[Bradley Jr., Jackie]",-2.501,0.19,-2.864,-2.153,0.002,0.002,10491.0,5648.0,1.0
"alpha[Vaughn, Andrew]",-3.031,0.208,-3.423,-2.644,0.002,0.002,11465.0,5512.0,1.0
"alpha[Bauers, Jake]",-2.925,0.216,-3.328,-2.522,0.002,0.003,11027.0,6094.0,1.0
"alpha[Brown, Seth]",-2.657,0.158,-2.959,-2.365,0.002,0.002,8765.0,6072.0,1.0
"alpha[Santander, Anthony]",-2.858,0.119,-3.079,-2.633,0.001,0.001,8900.0,5976.0,1.0
"alpha[Daza, Yonathan]",-2.7,0.244,-3.15,-2.222,0.002,0.003,12895.0,6316.0,1.0
"alpha[Happ, Ian]",-2.749,0.262,-3.251,-2.268,0.003,0.003,10738.0,5339.0,1.0
"alpha[Tucker, Cole]",-2.664,0.259,-3.159,-2.191,0.002,0.004,13227.0,4924.0,1.0
"alpha[McKenna, Ryan]",-2.732,0.22,-3.141,-2.325,0.002,0.003,11110.0,5873.0,1.0
"alpha[Peters, DJ]",-2.623,0.257,-3.112,-2.14,0.003,0.003,9999.0,5807.0,1.0
"alpha[Varsho, Daulton]",-2.736,0.187,-3.086,-2.388,0.002,0.002,10326.0,5863.0,1.0
"alpha[McCormick, Chas]",-2.342,0.208,-2.742,-1.96,0.002,0.002,9442.0,5566.0,1.0
"alpha[Rooker, Brent]",-2.82,0.223,-3.225,-2.387,0.002,0.003,12314.0,5878.0,1.0
"alpha[Raley, Luke]",-2.712,0.2,-3.1,-2.352,0.002,0.002,11023.0,5654.0,1.0
"alpha[Stanton, Giancarlo]",-2.873,0.198,-3.262,-2.516,0.002,0.002,9690.0,5893.0,1.0
"alpha[Reyes, Franmil]",-2.875,0.244,-3.321,-2.405,0.002,0.003,11052.0,5358.0,1.0
"alpha[Gordon, Nick]",-2.807,0.279,-3.324,-2.28,0.003,0.003,10241.0,5713.0,1.0
"alpha[Goodwin, Brian]",-2.78,0.228,-3.202,-2.355,0.002,0.003,11985.0,6029.0,1.0
"alpha[Siri, Jose]",-2.646,0.277,-3.161,-2.123,0.003,0.004,12221.0,5588.0,1.0
"alpha[Canha, Mark]",-2.553,0.212,-2.96,-2.156,0.002,0.003,13817.0,5903.0,1.0
"alpha[Ramírez, Harold]",-2.8,0.206,-3.181,-2.416,0.002,0.003,12127.0,5958.0,1.0
"alpha[Gonzalez, Romy]",-2.654,0.28,-3.157,-2.101,0.002,0.003,13042.0,5787.0,1.0
"alpha[Peterson, Jace]",-2.921,0.242,-3.397,-2.489,0.002,0.003,10493.0,6002.0,1.0
"alpha[Reyes, Victor]",-2.568,0.184,-2.934,-2.228,0.002,0.002,11310.0,5160.0,1.0
"alpha[Rivas III, Alfonso]",-2.822,0.275,-3.326,-2.295,0.003,0.003,10987.0,6035.0,1.0
"alpha[Tatis Jr., Fernando]",-2.745,0.142,-3.012,-2.476,0.002,0.002,8758.0,6154.0,1.0
"alpha[Gallo, Joey]",-2.785,0.171,-3.098,-2.455,0.002,0.002,9866.0,6179.0,1.0
"alpha[Refsnyder, Rob]",-2.833,0.209,-3.235,-2.459,0.002,0.002,10876.0,6253.0,1.0
"alpha[McCarthy, Jake]",-2.726,0.155,-3.026,-2.45,0.002,0.002,9507.0,5988.0,1.0
"alpha[Martin, Jason]",-2.732,0.28,-3.257,-2.203,0.003,0.004,12135.0,5192.0,1.0
"alpha[Stewart, DJ]",-3.038,0.184,-3.37,-2.676,0.002,0.002,10562.0,6098.0,1.0
"alpha[Adell, Jo]",-2.732,0.166,-3.05,-2.427,0.002,0.002,9872.0,6482.0,1.0
"alpha[Olivares, Edward]",-2.86,0.19,-3.212,-2.51,0.002,0.002,9444.0,6295.0,1.0
"alpha[McKinney, Billy]",-2.577,0.218,-2.971,-2.151,0.002,0.003,10052.0,6034.0,1.0
"alpha[Heyward, Jason]",-2.455,0.144,-2.727,-2.192,0.002,0.002,8603.0,4889.0,1.0
"alpha[Johnson, Daniel]",-2.64,0.251,-3.112,-2.173,0.002,0.003,13210.0,5466.0,1.0
"alpha[Lowe, Josh]",-2.745,0.154,-3.028,-2.457,0.002,0.002,9524.0,6207.0,1.0
"alpha[Wisdom, Patrick]",-2.829,0.259,-3.296,-2.327,0.002,0.003,12557.0,5917.0,1.0
"alpha[Hermosillo, Michael]",-2.713,0.273,-3.229,-2.213,0.003,0.003,10749.0,5874.0,1.0
"alpha[Fairchild, Stuart]",-2.482,0.228,-2.89,-2.032,0.002,0.003,10902.0,5744.0,1.0
"alpha[Rojas, Josh]",-2.667,0.237,-3.096,-2.197,0.002,0.003,11834.0,6302.0,1.0
"alpha[Akiyama, Shogo]",-2.722,0.285,-3.242,-2.161,0.003,0.004,10330.0,5714.0,1.0
"alpha[Tapia, Raimel]",-2.806,0.222,-3.241,-2.41,0.002,0.003,11159.0,5762.0,1.0
"alpha[Dickerson, Corey]",-2.839,0.276,-3.369,-2.326,0.003,0.004,10775.0,5419.0,1.0
"alpha[Taylor, Chris]",-2.693,0.255,-3.158,-2.206,0.002,0.003,13092.0,5914.0,1.0
"alpha[Motter, Taylor]",-2.689,0.276,-3.22,-2.189,0.003,0.003,10583.0,6467.0,1.0
"alpha[Chavis, Michael]",-2.786,0.282,-3.313,-2.259,0.003,0.003,11671.0,6052.0,1.0
"alpha[Edman, Tommy]",-2.647,0.212,-3.066,-2.268,0.002,0.002,9816.0,5636.0,1.0
"alpha[Polanco, Gregory]",-2.897,0.179,-3.224,-2.553,0.002,0.002,9639.0,6435.0,1.0
"alpha[Dyson, Jarrod]",-2.557,0.251,-3.021,-2.083,0.002,0.003,12010.0,5775.0,1.0
"alpha[Lamb, Jake]",-2.914,0.266,-3.408,-2.416,0.003,0.003,9926.0,5958.0,1.0
"alpha[Piscotty, Stephen]",-3.045,0.204,-3.44,-2.674,0.002,0.002,10973.0,6011.0,1.0
"alpha[Mateo, Jorge]",-2.714,0.275,-3.235,-2.199,0.003,0.004,9770.0,5156.0,1.0
"alpha[Naquin, Tyler]",-2.853,0.2,-3.214,-2.454,0.002,0.003,10915.0,5616.0,1.0
"alpha[Meyers, Jake]",-2.739,0.275,-3.29,-2.256,0.003,0.003,11476.0,5724.0,1.0
"alpha[Difo, Wilmer]",-3.014,0.274,-3.55,-2.514,0.003,0.004,11514.0,5481.0,1.0
"alpha[Larnach, Trevor]",-2.702,0.223,-3.128,-2.3,0.002,0.003,10880.0,6089.0,1.0
"alpha[Eaton, Adam]",-2.636,0.198,-3.011,-2.272,0.002,0.003,12075.0,5615.0,1.0
"alpha[Almora Jr., Albert]",-2.586,0.247,-3.057,-2.133,0.002,0.003,10795.0,5587.0,1.0
"alpha[Deichmann, Greg]",-2.78,0.272,-3.288,-2.27,0.003,0.003,11428.0,6294.0,1.0
"alpha[Bellinger, Cody]",-2.903,0.23,-3.326,-2.472,0.002,0.003,13189.0,5938.0,1.0
"alpha[Fraley, Jake]",-2.561,0.16,-2.866,-2.262,0.002,0.002,10782.0,5812.0,1.0
"alpha[Brinson, Lewis]",-2.69,0.276,-3.195,-2.156,0.003,0.003,11636.0,5710.0,1.0
"alpha[Beaty, Matt]",-2.842,0.247,-3.3,-2.376,0.002,0.003,11467.0,6295.0,1.0
"alpha[Fargas, Johneshwy]",-2.723,0.278,-3.255,-2.217,0.003,0.003,10489.0,5914.0,1.0
"alpha[Bell, Josh]",-2.755,0.277,-3.297,-2.25,0.003,0.003,12112.0,5408.0,1.0
"alpha[Marisnick, Jake]",-2.779,0.266,-3.282,-2.278,0.003,0.003,9124.0,4866.0,1.0
"alpha[Parra, Gerardo]",-2.757,0.273,-3.267,-2.245,0.003,0.003,11214.0,6351.0,1.0
"alpha[Estrada, Thairo]",-2.734,0.283,-3.259,-2.196,0.003,0.003,12166.0,5992.0,1.0
"alpha[Park, Hoy]",-2.809,0.278,-3.309,-2.269,0.003,0.004,11296.0,5271.0,1.0
"alpha[Laureano, Ramón]",-2.712,0.146,-2.985,-2.445,0.001,0.002,12105.0,5541.0,1.0
"alpha[Schrock, Max]",-2.681,0.275,-3.201,-2.173,0.003,0.003,10560.0,5976.0,1.0
"alpha[Sheets, Gavin]",-3.048,0.161,-3.342,-2.737,0.002,0.002,8599.0,6117.0,1.0
"alpha[Drury, Brandon]",-2.74,0.273,-3.229,-2.204,0.002,0.004,12169.0,4696.0,1.0
"alpha[Reddick, Josh]",-2.974,0.236,-3.413,-2.534,0.003,0.003,8848.0,5543.0,1.0
"alpha[Williams, Luke]",-2.753,0.284,-3.302,-2.223,0.003,0.003,9738.0,5844.0,1.0
"alpha[Dahl, David]",-2.759,0.261,-3.259,-2.278,0.003,0.003,10072.0,5597.0,1.0
"alpha[Miller, Brad]",-2.72,0.261,-3.188,-2.207,0.002,0.003,12447.0,5900.0,1.0
"alpha[Cordero, Franchy]",-2.744,0.237,-3.179,-2.287,0.002,0.003,9069.0,5617.0,1.0
"alpha[White, Eli]",-2.764,0.256,-3.244,-2.276,0.002,0.004,12072.0,5015.0,1.0
"alpha[Moore, Dylan]",-2.768,0.221,-3.179,-2.347,0.002,0.003,11638.0,5711.0,1.0
"alpha[Allen, Greg]",-2.767,0.251,-3.252,-2.303,0.003,0.003,10087.0,5707.0,1.0
"alpha[Pham, Tommy]",-2.989,0.201,-3.382,-2.63,0.002,0.002,8928.0,5897.0,1.0
"alpha[Adrianza, Ehire]",-2.783,0.256,-3.279,-2.328,0.002,0.003,11868.0,5813.0,1.0
"alpha[Oliva, Jared]",-2.8,0.265,-3.308,-2.305,0.002,0.003,13854.0,5580.0,1.0
"alpha[Lowe, Brandon]",-2.742,0.271,-3.24,-2.222,0.003,0.003,11602.0,5791.0,1.0
"alpha[McKinstry, Zach]",-2.641,0.209,-3.044,-2.26,0.002,0.002,10941.0,5940.0,1.0
"alpha[Ortega, Rafael]",-2.631,0.236,-3.064,-2.183,0.002,0.003,14237.0,5725.0,1.0
"alpha[Reks, Zach]",-2.713,0.277,-3.231,-2.192,0.002,0.003,12353.0,5987.0,1.0
"alpha[Evans, Phillip]",-2.77,0.263,-3.261,-2.276,0.002,0.003,12178.0,5933.0,1.0
"alpha[Harrison, Monte]",-2.698,0.278,-3.178,-2.128,0.003,0.003,12188.0,5983.0,1.0
"alpha[Wade, Tyler]",-2.786,0.263,-3.264,-2.279,0.002,0.003,13072.0,6034.0,1.0
"alpha[O'Grady, Brian]",-2.775,0.271,-3.278,-2.25,0.003,0.003,10574.0,5932.0,1.0
"alpha[LaMarre, Ryan]",-2.691,0.274,-3.19,-2.166,0.002,0.003,13787.0,6275.0,1.0
"alpha[Amburgey, Trey]",-2.611,0.279,-3.126,-2.079,0.003,0.004,11403.0,5474.0,1.0
"alpha[Lorenzen, Michael]",-2.729,0.285,-3.293,-2.219,0.003,0.004,11854.0,5749.0,1.0
"alpha[Cooper, Garrett]",-2.933,0.246,-3.399,-2.479,0.002,0.003,11116.0,6066.0,1.0
"alpha[Almonte, Abraham]",-2.767,0.284,-3.312,-2.239,0.003,0.004,12925.0,5542.0,1.0
"alpha[Bruján, Vidal]",-2.531,0.246,-3.0,-2.079,0.002,0.003,11224.0,5502.0,1.0
"alpha[Ward, Taylor]",-2.612,0.153,-2.899,-2.33,0.001,0.002,10588.0,6744.0,1.0
"alpha[Kirilloff, Alex]",-2.889,0.24,-3.35,-2.442,0.002,0.003,11500.0,4898.0,1.0
"alpha[Mazara, Nomar]",-2.746,0.194,-3.112,-2.379,0.002,0.003,13344.0,5617.0,1.0
"alpha[Jankowski, Travis]",-2.637,0.219,-3.073,-2.238,0.002,0.003,10985.0,6249.0,1.0
"alpha[Rengifo, Luis]",-2.853,0.244,-3.331,-2.399,0.002,0.003,11437.0,5731.0,1.0
"alpha[Acuña Jr., Ronald]",-2.941,0.132,-3.191,-2.689,0.002,0.001,7347.0,5461.0,1.0
"alpha[Davis, Jaylin]",-2.703,0.272,-3.228,-2.208,0.003,0.003,11149.0,5820.0,1.0
"alpha[Owings, Chris]",-2.783,0.279,-3.32,-2.269,0.003,0.004,11515.0,5265.0,1.0
"alpha[Celestino, Gilberto]",-2.764,0.265,-3.274,-2.281,0.002,0.003,11475.0,5974.0,1.0
"alpha[Bolt, Skye]",-2.654,0.266,-3.179,-2.179,0.002,0.003,12161.0,6181.0,1.0
"alpha[Tauchman, Mike]",-2.539,0.206,-2.927,-2.16,0.002,0.003,10658.0,5719.0,1.0
"alpha[Frazier, Clint]",-2.927,0.235,-3.377,-2.49,0.002,0.003,11211.0,6039.0,1.0
"alpha[Biggio, Cavan]",-2.659,0.216,-3.06,-2.246,0.002,0.002,11072.0,6304.0,1.0
"alpha[González, Luis]",-3.007,0.212,-3.401,-2.606,0.002,0.002,10573.0,5669.0,1.0
"alpha[Naylor, Josh]",-2.931,0.204,-3.317,-2.556,0.002,0.002,11143.0,6287.0,1.0
"alpha[Blankenhorn, Travis]",-2.705,0.268,-3.225,-2.218,0.003,0.003,9664.0,5865.0,1.0
"alpha[Fisher, Derek]",-2.706,0.283,-3.259,-2.2,0.002,0.004,12798.0,5450.0,1.0
"alpha[Berti, Jon]",-2.775,0.276,-3.283,-2.238,0.002,0.003,12591.0,5846.0,1.0
"alpha[Thomas, Lane]",-2.947,0.131,-3.202,-2.708,0.001,0.001,8119.0,5907.0,1.0
"alpha[Locastro, Tim]",-2.661,0.256,-3.137,-2.189,0.003,0.003,10064.0,5314.0,1.0
"alpha[Payton, Mark]",-2.732,0.287,-3.247,-2.169,0.003,0.004,12312.0,5667.0,1.0
"alpha[Wong, Kean]",-2.718,0.272,-3.233,-2.216,0.002,0.004,12587.0,5678.0,1.0
"alpha[Thomas, Dillon]",-2.733,0.273,-3.242,-2.213,0.002,0.003,11946.0,5429.0,1.0
"alpha[Garlick, Kyle]",-3.047,0.234,-3.477,-2.605,0.002,0.003,10610.0,5670.0,1.0
"alpha[Wilkerson, Stevie]",-2.701,0.282,-3.241,-2.183,0.002,0.004,13816.0,5510.0,1.0
"alpha[Mendick, Danny]",-2.779,0.274,-3.277,-2.25,0.003,0.003,10923.0,5411.0,1.0
"alpha[Sierra, Magneuris]",-2.697,0.278,-3.189,-2.148,0.003,0.004,11881.0,5440.0,1.0
"alpha[Williams, Justin]",-2.849,0.247,-3.325,-2.402,0.002,0.003,12703.0,5984.0,1.0
"alpha[Astudillo, Willians]",-2.74,0.279,-3.265,-2.224,0.003,0.003,9803.0,6076.0,1.0
"alpha[Heineman, Scott]",-2.694,0.277,-3.214,-2.166,0.003,0.004,12224.0,5620.0,1.0
"alpha[Kelenic, Jarred]",-2.442,0.218,-2.857,-2.045,0.002,0.002,9647.0,6151.0,1.0
"alpha[Lee, Khalil]",-2.734,0.27,-3.241,-2.232,0.003,0.004,11544.0,5688.0,1.0
"alpha[Neuse, Sheldon]",-2.789,0.275,-3.312,-2.278,0.003,0.003,9847.0,6057.0,1.0
"alpha[Joyce, Matt]",-2.747,0.259,-3.232,-2.263,0.003,0.003,9871.0,5486.0,1.0
"alpha[Luplow, Jordan]",-2.859,0.223,-3.27,-2.433,0.002,0.003,12592.0,6070.0,1.0
"alpha[Quinn, Roman]",-2.611,0.276,-3.129,-2.097,0.003,0.003,10790.0,6021.0,1.0
"alpha[Maybin, Cameron]",-2.739,0.286,-3.269,-2.196,0.003,0.004,10747.0,5965.0,1.0
"alpha[Culberson, Charlie]",-2.723,0.29,-3.258,-2.169,0.003,0.004,11853.0,5102.0,1.0
"alpha[Haggerty, Sam]",-2.27,0.24,-2.713,-1.813,0.003,0.003,8824.0,5791.0,1.0
"alpha[Gonzalez, Marwin]",-2.448,0.264,-2.949,-1.963,0.002,0.003,11599.0,5710.0,1.0
"alpha[Stokes Jr., Troy]",-2.699,0.277,-3.212,-2.172,0.002,0.004,13718.0,5623.0,1.0
"alpha[Ruf, Darin]",-2.891,0.254,-3.362,-2.403,0.003,0.003,10299.0,5969.0,1.0
"alpha[Kingery, Scott]",-2.725,0.277,-3.237,-2.197,0.003,0.003,10889.0,5875.0,1.0
"alpha[Riley, Austin]",-2.871,0.285,-3.42,-2.353,0.003,0.004,10162.0,6034.0,1.0
"alpha[Hager, Jake]",-2.781,0.28,-3.292,-2.25,0.003,0.003,12398.0,5683.0,1.0
"alpha[Winker, Jesse]",-2.923,0.262,-3.439,-2.455,0.003,0.003,10169.0,5721.0,1.0
"alpha[Marcano, Tucupita]",-2.675,0.284,-3.197,-2.137,0.002,0.003,12969.0,6045.0,1.0
"alpha[Kivlehan, Patrick]",-2.731,0.286,-3.274,-2.191,0.003,0.003,11114.0,5586.0,1.0
"alpha[Hernandez, Yadiel]",-2.676,0.267,-3.167,-2.15,0.002,0.004,13170.0,5765.0,1.0
"alpha[Marmolejos, José]",-2.735,0.281,-3.276,-2.216,0.003,0.004,12545.0,5534.0,1.0
"alpha[Owen, Hunter]",-2.772,0.279,-3.288,-2.238,0.003,0.004,12029.0,5580.0,1.0
"alpha[Díaz, Aledmys]",-2.738,0.278,-3.258,-2.216,0.003,0.003,11101.0,4942.0,1.0
"alpha[Stevenson, Andrew]",-2.778,0.274,-3.293,-2.274,0.003,0.003,10031.0,5000.0,1.0
"alpha[Duggar, Steven]",-2.73,0.283,-3.244,-2.187,0.003,0.004,10332.0,5593.0,1.0
"alpha[Walsh, Jared]",-2.61,0.246,-3.052,-2.133,0.002,0.003,11253.0,5845.0,1.0
"alpha[Schebler, Scott]",-2.693,0.266,-3.197,-2.207,0.003,0.003,9974.0,5915.0,1.0
"alpha[Pérez, Hernán]",-2.735,0.269,-3.235,-2.236,0.002,0.003,14700.0,6210.0,1.0
"alpha[Palacios, Joshua]",-2.566,0.216,-2.956,-2.141,0.002,0.003,10525.0,5934.0,1.0
"alpha[Ray, Corey]",-2.706,0.273,-3.23,-2.207,0.003,0.004,11553.0,5260.0,1.0
"alpha[Baddoo, Akil]",-2.7,0.26,-3.194,-2.213,0.002,0.003,11440.0,5957.0,1.0
"alpha[Moniak, Mickey]",-2.773,0.232,-3.19,-2.326,0.002,0.003,10583.0,5510.0,1.0
"alpha[Alford, Anthony]",-2.709,0.274,-3.238,-2.212,0.003,0.003,10120.0,6108.0,1.0
"alpha[Tom, Ka'ai]",-2.734,0.277,-3.248,-2.209,0.003,0.004,12194.0,5601.0,1.0
"alpha[VanMeter, Josh]",-2.739,0.278,-3.262,-2.221,0.002,0.004,13195.0,5705.0,1.0
"alpha[Fowler, Dexter]",-2.724,0.277,-3.232,-2.205,0.003,0.004,10688.0,5533.0,1.0
"alpha[Brosseau, Mike]",-2.79,0.278,-3.308,-2.268,0.003,0.004,10115.0,5883.0,1.0
"alpha[Fowler, Dustin]",-2.731,0.285,-3.272,-2.186,0.003,0.004,11224.0,5659.0,1.0
"alpha[Meadows, Austin]",-2.615,0.242,-3.068,-2.155,0.002,0.003,11700.0,5905.0,1.0
"alpha[Dean, Austin]",-2.701,0.284,-3.218,-2.156,0.003,0.004,12650.0,5782.0,1.0
"alpha[Herrera, Odúbel]",-2.778,0.268,-3.299,-2.281,0.003,0.003,10720.0,6158.0,1.0
"alpha[Hamilton, Billy]",-2.728,0.285,-3.241,-2.187,0.002,0.004,13069.0,5423.0,1.0
"alpha[Gonzalez, Oscar]",-2.744,0.171,-3.07,-2.431,0.002,0.002,10008.0,6207.0,1.0
"alpha[Marte, Starling]",-2.804,0.133,-3.056,-2.561,0.001,0.002,11025.0,6217.0,1.0
"alpha[Suzuki, Seiya]",-2.745,0.133,-2.985,-2.485,0.001,0.001,9826.0,6482.0,1.0
"alpha[Eaton, Nate]",-2.467,0.246,-2.934,-2.004,0.002,0.003,10876.0,5619.0,1.0
"alpha[Guthrie, Dalton]",-2.735,0.269,-3.23,-2.214,0.003,0.003,9988.0,5624.0,1.0
"alpha[Capel, Conner]",-2.815,0.226,-3.235,-2.389,0.002,0.003,11471.0,6550.0,1.0
"alpha[Suwinski, Jack]",-2.928,0.215,-3.345,-2.539,0.002,0.003,10500.0,5482.0,1.0
"alpha[Dixon, Brandon]",-2.632,0.274,-3.17,-2.125,0.003,0.003,9878.0,5396.0,1.0
"alpha[Frazier, Adam]",-2.679,0.222,-3.09,-2.254,0.002,0.003,12159.0,6163.0,1.0
